year,operator,route,ac_type,collision,registration,all_aboard,passengers_on_board,crew_aboard,passenger_fatalities,crew_fatalities,on_air_fatalities,ground,total_fatalities,countries,summary
1990,Taba,Belem - Altamira,Fairchild Fh-227B,0,Pt-Ica,42,39,3,21,2,23,0,23,Brazil,"The pilot switched to VFR in IFR conditions, struck trees 1 km short of runway in heavy ground fog. Pilot error."
1990,Douglas Airways,Port Moresby-Woitape,Britten-Norman 2B-21 Islander,0,P2-Dnj,12,11,1,7,1,8,0,8,New Guinea,Struck a ridge in poor weather 35km from Port Morseby while en route to Woltape.
1990,Aeroflot,Yerevan - Zvartnots,Yakovlev Yak-40,0,Cccp-87453,47,43,4,43,4,47,0,47,USSR,"The aircraft crashed into a cloud covered mountain at 2,520m, 22km from its destination.  Premature descent."
1990,Private - Omniflight Helicopters,"Elkhorn, Wi - Chicago, Il",Bell Bht-206-B Helicopter,0,N16933,5,4,1,4,1,5,0,5,United States,"Four helicopters were being used to night transport a concert group. The helicopter in question remained at a lower altitude and crashed into terrain soon after taking off into fog. Blues guitarist Stevie Ray Vaughan, 35 was killed. Eric Clapton was originally going to be on the helicopter but gave his seat to Vaughan. Failure of the pilot to attain adequate altitude before flying over rising terrain. Factors related to the accident were: darkness, fog, haze, rising terrain, and the lack of visual cues that were available to the pilot."
1990,Military - U.S. Air Force,Ramstein Ab - Rhein-Main Ab,Lockheed C-5A,0,68-0228,17,9,8,6,7,13,0,13,Germany,"Just after taking off, the aircraft drifted to the left and clipped trees eventually crashing 3,000 ft. past the end of the runway. Possible inadvertent deployment of a thrust reverser."
1990,Frontier Flying Service,"Nulato, Ak - Kaltag, Ak",Piper Pa-31-325 Navajo,0,N59783,10,9,1,3,0,3,0,3,United States,Crashed after loosing the No. 2 engine.Failure of the pilot to maintain adequate altitude after becoming distracted with an engine problem. Loss of power in the No. 2 engine for unknown reasons.
1990,Faucett,Malta - Miami - Reykjavík - Gander,Boeing B-727-247,0,Ob-1303,18,15,3,15,3,18,0,18,Canada,The aircraft ran out of fuel and crashed into the sea. The last message that was heard from the crew was they were low on fuel and preparing to ditch.
1990,Nuna Air,Sondre Stomfjord - Goose Bay,Cessna 441 Conquest Ii,0,Oy-Cgm,8,6,2,6,2,8,0,8,Greenland,"Crashed into the sea 80nm southwest of its departure point. According to ATC tapes, the crew was being incapacitated by hypoxia prior to crashing."
1990,Aeroflot,Volgograd - Sverdlovsk,Yakovlev Yak-42,0,Cccp-42351,128,122,6,3,1,4,0,4,Russia,"The aircraft undershot on approach and crashed 1,700m short of the runway.  It is reported that the crew, who was apparently fatigued, failed to correctly follow procedures. The accident happened at night."
1990,Sudene,Fernando De Noronha -  Recife,Embraer 110P1 Bandeirante,0,Pt-Faw,12,10,2,10,2,12,0,12,Brazil,"The predeparture check lists were carried out by the first officer, while the captain arrived late. The aircraft s taxied out immediately and it is presumed that the crew did not carry out the pretakeoff checklist. The airplane took off,  entered a steep climb and turned right. Shortly afterwards the plane dove into the sea. Both pilots had very little experience on Bandeirante planes."
1990,Hitech Helicopters,"Van Nuys, Ca - San Luis Obispo, Ca",Cessna 501 Citation,0,N79Dd,4,2,2,2,2,4,0,4,United States,Crashed short of the runway into a Eucalyptus tree while making an approach to Runway 11 in heavy fog.  The pilot's improper IFR procedure. His failure to maintain the minimum descent altitude for the adverse weather was a related factor.
1990,China Southern Airlines / Xiamen Airlines,Guangzhou - Shanghi,Boeing B-737-247 / Boeing B-757-21B,1,B-2812/B-2510,226,205,21,121,7,128,0,128,China,"Shortly after taking off a hijacker entered the cockpit and demanded to be flown to Hong Kong. The captain circled for 30 minutes and after a struggle in the cockpit, attempted to land at Guangzhou, hitting the runway hard, clipping a B-707, crashing into a B-757, filpping over and bursing into flames. Eighty-two aboard the B-737 and 46 aboard the B-757 were killed. Later figures suggest the death toll was 132 and included the hijacker and driver of a vehicle."
1990,Bafin,Bella Vista - La Paz,Douglas C-47B-40-Dk,0,Cp-735,4,2,2,2,2,4,0,4,Bolivia,Disappeared en route. Wreckage found 6 years later in the Andes.
1990,Cubana De Aviacion,Camaguey - Santiago De Cuba,Yakovlev Yak-40,0,Cu-T1202,31,24,7,9,2,11,0,11,Cuba,Struck the ground 2.5 miles short of the runway at a high rate of speed in rain and reduced visibility. Pilot error. Continuing VFR flight in IFR conditions.
1990,Alitalia,Milano - Zürich,Mcdonnell Douglas Dc-9-32,0,I-Atja,46,40,6,40,6,46,0,46,Switzerland,"The aircraft continued to descend after intercepting the glide slope and hit high ground 6 miles from the airport. False indication of VHF NAV on unit No.1 in the aircraft. Possible misread altimeter by the pilot-in-command. Lack of GPWS warning in the cockpit. Crew was not aware of the possibility of incorrect indications in the NAV equipment in use. Non-compliance with basic procedural instructions during the approach. ATC  did not observe the leaving of the cleared altitude of 4,000 ft."
1990,Satena,Quibdó - Bogotá,Casa 212 Aviocar 200,0,Fac-1150,16,12,4,12,4,16,0,16,Colombia,"Crashed into a jungle mountain, Mt. Los Farllones, in poor weather. Controlled flight into terrain."
1990,Bangkok Airways,Bangkok - Koh Samui,De Havilland Canada Dhc-8-103,0,Ob-1358,38,33,5,33,5,38,0,38,Thailand,"After receiving a runway change, the crew executed a missed approach.  They became confused on which way to go. They entered an area of clouds and heavy rain, became disoriented and descended in a left wing down attitude until they impacted the ground at a coconut plantation. The pilots experienced spatial disorientation which resulted in improper control of the aircraft. Numerous procedural errors and poor cockpit discipline by the crew. The pilot flew into weather conditions where he had no visual reference. Lack of cross-checking and monitoring of altitude. Improper monitoring the flight instruments."
1990,Northwest Airlines/ Northwest Airlines,Detroit - Pittsburg,Boeing B-727-251 / Md Douglas Dc-9-14,1,N278Us/N3313L,198,186,12,7,1,8,0,8,United States,Ground collision in dense fog. The 727 was on its takeoff roll when the DC-9 taxied onto the active runway. Improper crew coordination aboard the DC-9.  Failure to stop and alert ATC of positional uncertainty. Eight killed aboard the DC-9. None aboard the B-727.
1990,Sudania Air Cargo,Khartoum - Nairobi,Boeing B-707-320F,0,St-Sac,10,7,3,7,3,10,0,10,Kenya,"Undershot the runway by 4km on a second approach, hit powerlines and crashed in fog."
1991,Military - Venezuelan Navy,Caracas - Merida,Casa 212 Aviocar 200,0,Arv-0209,22,19,3,18,3,21,0,21,Venezuela,"Crashed into Paramo Mucuti Mountain, 35 miles from it's destination of Merida. The last message from the pilot was he was unable to land because of adverse weather conditions and was declaring an emergency. The flight was transporting a funeral party for a Navy flyer killed a few days before. The only survivor was another Navy flyer who had also survived the earlier accident."
1991,Merpati Nusantara Airlines,Manado - Gorontalo,Casa 212 Aviocar 200,0,Pk-Ncy,21,18,3,1,0,1,0,1,Indonesia,The plane made a forced landing during poor weather conditions and crashed into trees on a ridge. All passengers survived but one elderly passenger died while waiting for rescue.
1991,Usair / Skywest Airlines,Columbus - Los Angeles \  Los Angeles - Fresno,Boeing B-737-300 / Swearingen Sa-227Ac,1,N388Us/N683Av,101,93,8,30,4,34,0,34,United States,"The Skywest Metroliner was told to taxi into position for takeoff and hold. The ATC became preoccupied with another aircraft that departed the tower frequency. A Wings West aircraft reporting ""ready for takeoff"", caused some confusion because the controller didn't have a flight progress strip in front of her. The strip appeared to have been misfiled at the clearance delivery position. The USAir, which was cleared to land, struck the rear of the Metroliner. After the collision, both planes slid off the runway into an unoccupied fire station and burst into flames.The failure of the Los Angeles Air Traffic facility management to implement procedures that provided redundancy comparable to the requirements contained in the National Operational Position Standards and the failure of the FAA ATS to provide adequate policy direction and oversight to its ATC facility managers. These failures created an environment in the Los Angeles ATC tower that ultimately led to the failure of the  controller to maintain awareness of the traffic situation, culminating in the inappropriate clearances and the subsequent collision of the USAir and SkyWest aircraft. Twenty-two killed aboard the USAir and all 12 aboard the Metroliner. One additional person died 31 days after the accident making it 35 killed."
1991,Military - Hellenic Air Force,Elefsis Ab - Volos-Néa Anchialos,Lockheed C-130H,0,748,63,59,4,59,4,63,0,63,Greece,"The aircraft flew into the summit of Mt. .Othrys at 4,000 ft. while preparing to land at Nea Anghialos Airport."
1991,Military - Ecuadorean Air Force,Macao - Taisha,De Havilland Canada Dhc-6 Twin Otter 300,0,Fae447,22,19,3,19,3,22,0,22,Ecuador,"Crashed into the side of Mt. Paso Macunaa at 5,000 ft. in a jungle region of eastern Ecuador in poor weather. Controlled flight into terrain."
1991,Ryan International Airlines,Cleveland - Indianapolis,Mcdonnell Douglas Dc-9-15Rc,0,N565Pc,2,0,2,0,2,2,0,2,United States,"The cargo plane stalled during takeoff cart wheeled and crashed. The failure of the flight crew to detect and remove ice contamination on the airplane's wings, which was largely a result of a lack of appropriate response by the Federal Aviation Administration, Douglas Aircraft Company, and Ryan International Airlines to the known effect that a minute amount of contamination has on the stall characteristics of the DC-9 series 10 airplane. The ice contamination led to wing stall and loss of control during the attempted takeoff."
1991,Lan,Punta Arenas - Puerto Williams,British Aerospace Bae-146-200A,0,Cc-Cet,72,65,7,20,0,20,0,20,Chile,The plane overran the runway on approach and sank in Beagle Channel in the sea.
1991,United Air Lines,Denver - Colorado Springs,Boeing B-737-291,0,N999Ua,25,20,5,20,5,25,0,25,United States,"While on final approach to Colorado Springs, the aircraft suddenly rolled to the right and pitched nose down until it reached an almost vertical attitude before hitting the ground. Uncommanded deflection of the rudder caused by the jamming of the main rudder PUC servo valve. The rudder malfunction forced the rudder to go in the opposite direction the pilots commanded it to go. First female pilot to die on the flight deck of a major U.S. airline."
1991,Linea Aeropostal Venezolana,Maracaibo - Santa Barbara De Zulia,Mcdonnell Douglas Dc-9-32,0,Yv-23C,45,40,5,40,5,45,0,45,Venezuela,The aircraft crashed into the Las Torres plateau in the Andes mountains on a flight from Maracaibo to Santa Barbara de Zulia. The mountain was shrouded in clouds. Controlled flight into terrain. The point of impact was considerably off course.
1991,Duncan Aircraft Sales,"San Diego - Amarillo, Tx  - Evansville, In",Hawker-Siddeley Dh-125-1A/522,0,N831Lc,10,8,2,8,2,10,0,10,United States,"The aircraft hit rising terrain near the top of Mt. Otay, 8 miles NE of Brown Field at an elevation of 3,300 feet shortly after taking off. Improper planning/decision by the pilot. Failure of the crew to maintain proper altitude and clearance over mountainous terrain and the failure of the copilot to adequately monitor the progress of the flight. Seven members of the Reba McEntire band were killed."
1991,Transafrik,Luanda-Dundo,Lockheed L-100-30 Hercules,0,Cp-1564,9,6,3,6,3,9,0,9,Angola,The cargo plane was shot down by a surface-to-air missile.
1991,Military - Royal Saudi Air Force,Koweit City-Ras-Al-Mishab-Dakar,Lockheed C-130H,0,469,98,92,6,92,6,98,0,98,Saudi Arabia,Crashed while attempting to land in poor visibility caused by oil fires during the Persian Gulf War.
1991,Aeroflot,Trashkent - Navoi,Antonov An-24B,0,Cccp-46472,63,59,4,30,4,34,0,34,Uzbekistan,The aircraft overran the runway and crashed into concrete blocks. Crew error. Did not follow proper procedures during landing.
1991,Military - Indian Air Force,Yellahanka-Yellahanka,Hindustan Aeronautics 748-2,0,H1513,28,25,3,25,3,28,0,28,India,The plane climbed to an altitude of 150 ft. and then crashed into the ground about half-a-mile from the airport. Engine failure.
1991,Central Mountain Air Services,Sturdee - Smithers,Douglas C-47B-15-Dk,0,C-Fqnf,7,4,3,3,3,6,0,6,Canada,"The plane crash landed on a frozen lake after the crew flighing VFR, entered a snow storm."
